,Baseline [N=962],Follow-up [N=795],Pooled [N=1757]
Age [years],48.4(0.6) +- 17.2(3.1) [N=962],51.4(0.6) +- 16.8(3.2) [N=795],49.7(0.5) +- 17.0(3.0) [N=1757]
BMI [kg/m2],25.1(0.1) +- 4.5(1.1) [N=961],25.5(0.2) +- 4.6(1.2) [N=792],25.2(0.1) +- 4.5(1.1) [N=1753]
Body height [cm],170.6(0.3) +- 8.9(1.8) [N=961],170.4(0.3) +- 9.1(2.2) [N=792],170.5(0.3) +- 9.0(1.9) [N=1753]
Body weight [kg],73.2(0.5) +- 14.9(3.4) [N=961],74.0(0.5) +- 15.2(3.7) [N=793],73.6(0.5) +- 15.0(3.4) [N=1754]
Heart rate (mean of 5) [bpm],66.9(0.4) +- 11.0(2.9) [N=891],65.8(0.4) +- 10.4(2.8) [N=712],66.4(0.3) +- 10.8(2.5) [N=1603]
Systolic blood pressure (mean of 5) [mmHg],118.2(0.5) +- 16.7(4.0) [N=958],118.0(0.6) +- 15.5(3.8) [N=793],118.1(0.5) +- 16.1(3.5) [N=1751]
Diastolic blood pressure (mean of 5) [mmHg],75.7(0.3) +- 9.7(2.1) [N=958],74.2(0.3) +- 9.1(2.2) [N=793],75.0(0.3) +- 9.5(1.9) [N=1751]
Current smoker [Yes/No],23.1% [N=956],23.6% [N=791],23.4% [N=1747]
Past smoker [Yes/No],48.2% [N=884],48.3% [N=729],48.2% [N=1613]
Hypertensive [Yes/No],32.0% [N=955],28.2% [N=792],30.3% [N=1747]
Taking anti-hypertensive drug [Yes/No],20.0% [N=953],nan% [N=0],20.0% [N=953]
Diabetic [Yes/No],4.3% [N=944],6.0% [N=788],5.1% [N=1732]
Treated for diabetes [Yes/No],2.8% [N=960],4.4% [N=791],3.5% [N=1751]
Obese [Yes/No],12.9% [N=961],15.8% [N=792],14.2% [N=1753]
