Variable name,P-value correlation,# Missing,Variable description
p_h_income::_3000-4999 CHF,0.005556493753923119,989,Monthly household income
sleep_22fD,0.006501684169805116,906,Number of minutes spent sleeping during the day-Armband
p_h_income::_-9,0.014296054936330361,989,Monthly household income
origin_final::_1.0,0.03759262069588793,1084,"Origin of the participant (1=European, 2-4=Other, -9=Unknown)"
f_meat_24n::_5 days/week,0.03803538769857319,758,"In general, how many days per week do you eat meat or delicatessen? "
f_fruit::_Less than 1 portion/day,0.05057575024021615,761,How many fruit portions do you eat on a daily basis?
sleep_duration,0.0551322534999421,908,Average number of hours of sleep per night
orig_regio::_CH,0.055885044970720534,905,Origin related - Questionnaire
orig_regio::_XK,0.058592284428229426,905,Origin related - Questionnaire
orig_regio::_CD,0.0647379528222317,905,Origin related - Questionnaire
fin_diff::_No and this has never happened,0.07432147818143418,899,Financial difficulties
f_meat_24n::_4 days/week,0.09573414969898787,758,"In general, how many days per week do you eat meat or delicatessen? "
p_h_income::_>13000 CHF,0.10547057809414442,989,Monthly household income
orig_regio::_BE,0.10558635234897931,905,Origin related - Questionnaire
phys_activity_22fN,0.12378146871335761,915,Minutes physically active day-Armband
f_veg::_3-4 portions per day,0.1262575019750642,763,How many vegetable portions do you eat on a daily basis?
f_fish::_3 days/week,0.12948030378840145,759,"In general, how many days per week do you eat fish? "
orig_regio::_CZ,0.13179199559485633,905,Origin related - Questionnaire
"educat_code::_Superior education (not University), more than 3 years",0.13305550231996136,54,Highest attained education
f_fruit::_1-2 portions/day,0.16067408571668082,761,How many fruit portions do you eat on a daily basis?
f_meat_24n::_Rarely,0.16187492419579713,758,"In general, how many days per week do you eat meat or delicatessen? "
origin_final::_3.0,0.16909291611000815,1084,"Origin of the participant (1=European, 2-4=Other, -9=Unknown)"
orig_regio::_AG,0.1746798091643797,905,Origin related - Questionnaire
phys_activity_t,0.1871467150605709,905,Total number of minutes physically active-Armband
f_fish::_Rarely,0.18969454168387115,759,"In general, how many days per week do you eat fish? "
educat_code::_No diploma,0.19269571587655307,54,Highest attained education
p_act3::_No,0.19891570925123153,700,"Lev. phys.act at work - Pushing wheelbarrow? (Y=1,N=2)"
orig_regio::_US,0.19918095719244228,905,Origin related - Questionnaire
f_fish::_1 day/week,0.21663572233118172,759,"In general, how many days per week do you eat fish? "
edu_3cat::_Low,0.21683192441594087,54,"Highest attained education (1=High,2=Middle,3=Low)"
orig_regio::_NL,0.22536650554838347,905,Origin related - Questionnaire
e_now::_No,0.23853379778263334,0,"Present consumption of alcohol  (Y=1,N=2) "
orig_regio::_DK,0.24859486558571894,905,Origin related - Questionnaire
p_act1::_Yes,0.2531435041368823,613,"Lev. phys.act at work - Sitting? (Y=1,N=2)"
"educat_code::_Secondary education - vocational, superior level (superior maturity)",0.2549288529086472,54,Highest attained education
"educat_code::_Secondary education - vocational, lower level (apprenticeship - CFC)",0.25560761553220535,54,Highest attained education
sleep_t,0.2564436827201369,905,Total number of minutes spent sleeping-Armband
p_act2::_No,0.2583506924428689,696,"Lev. phys.act at work - Driving a car? (Y=1,N=2)"
orig_regio::_RS,0.26035267654611005,905,Origin related - Questionnaire
edu_3cat::_Middle,0.2604623278609672,54,"Highest attained education (1=High,2=Middle,3=Low)"
p_act4::_No,0.2676619130483474,724,"Lev. phys.act at work - Loading lorry without mechanical help? (Y=1,N=2)"
"educat_code::_University, ETH",0.27188882731215513,54,Highest attained education
f_meat_24n::_6 days/week,0.2740467461638369,758,"In general, how many days per week do you eat meat or delicatessen? "
